name,Receiving Facility Street Address,Receiving Facility City,Receiving Facility State/Province,Receiving Facility Zip/Mailing Code,Receiving Facility Country,latitude,longitude,id
CLEAN HARBORS INC,7842 PROGRESS WAY,DELTA,BRITISH COLUMBIA,V4G 1A4,CANADA,49.1382395,-123.0064033,CLE49
"SENSOR ENVIRONMENTAL SERVICES, LTD - SWAN HILLS TREATMENT CENTER",NE 1/4 SEC. 6-67-9 WSM,SWAN HILLS,ALBERTA,,CANADA,,,SEN
FALCONBRIDGE/NORANDA,101 PORTELANCE AVENUE,ROUYN-NORANDA,QUEBEC,J9X 5B6,CANADA,48.2508317,-79.0145261,FAL48
"SMC (CANADA), LTD.",MCALPINE SITE/COLEMAN TOWNSHIP,COBALT,ONTARIO,P0J1C0,CANADA,,,SMC
CLEAN HARBORS INC,"265 NORTH FRONT STREET, SUITE #502",SARNIA,ONTARIO,N7T 7X1,CANADA,42.9755579,-82.4072932,CLE42
LAFARGE CEMENT,1 LAFARGE STREET,ST. CONSTANT,QUEBEC,J5A 2G4,CANADA,,,LAF
#N/A,,,,,CANADA,62.8329086,-95.9133224,#N/A
RECICLADORA TEMARRY DE MEXICO,"KM 121, CARRETERA FEDERAL #2, MEXICALI-TIJUANA COL SAN JOSE",TECATE,BAJA CALIFORNIA,21530,MEXICO,32.5768374,-116.6136287,REC32
ONTARIO POWER GENERATION,"BULDING 23, BOX 2000",TIVERTON,ONTARIO,N0G 2T0,CANADA,,,ONT
FALCONBRIDGE LTD / XSTRATA CANADA CORPORATION,156 MARCEL-BARIL AVENUE,ROUYN-NORANDA,QUEBEC,J9X7C1,CANADA,48.2591909,-79.0147007,FAL48
PHASE SEPARATION,2-17-10 WEST 2ND,WOLSELEY,SASKATCHEWAN,S0G 5H0,CANADA,,,PHA
RECAPTURE METALS LIMITED,625 NEAL DRIVE,PETERBOROUGH,ONTARIO,K9J6X7,CANADA,44.27581,-78.29994,REC44
XSTRATA CORP,692 MAIN STREET,BELLEDUNE,NEW BRUNSWICK,E8G 2M1,CANADA,47.8965538,-65.830789,XST47
ST. MARYS CEMENT,585 WATER STREET SOUTH,ST. MARYS,ONTARIO,N4X 1B6,CANADA,,,ST.
RECUPERE SOL INC,80 RUE DES MELEZES,SAINT-AMBROISE,QUEBEC,G7P2N4,CANADA,48.5400533,-71.292465,REC48
HERITAGE ENVIRONMENTAL SERVICES,7701 W. MORRIS ST.,INDIANAPOLIS,IN,46231,USA,39.7494793,-86.2972319,HER39
GOPHER RESOURCE,3385 S. HWY 149,EAGAN,MN,55121,USA,44.8180809,-93.16716,GOP44
NEWALTA,1200 GARNIER VILLE,ST. CATHERINE,QUEBEC,J5C 1B4,CANADA,45.4020369,-73.6012997,NEW45
ENVIROGREEN TECHNOLOGIES LTD,"LELA, LOT 401, SIMILCO MINE",PRINCETON,BC,V0X 1W0,CANADA,,,ENV
STABLEX CANADA INC,760 BOULEVARD INDUSTRIEL,BLAINVILLE,QUEBEC,J7C3V4,CANADA,45.6707217,-73.8602547,STA45
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,L5M45S5,CANADA,44.43435,-79.73776,NEW44
CLEAN HARBORS,4090 TELFER ROAD,CORUNNA,ONTARIO,N0N1G0,CANADA,42.8785,-82.30195,CLE42
FIELDING CHEMICAL TECHNOLOGIES INC,3549 MAVIS ROAD,MISSISSAUGA,ONTARIO,L5C1T7,CANADA,43.5778899,-79.6478,FIE43
HERITAGE ENVIRONMENTAL SERVICES,7901 W MORRIS ST,INDIANAPOLIS,IN,46231,CANADA,,,HER
NEWALTA,1209 GARNIER,VILLE STE. CATHERINE,QUEBEC,J5C1B4,CANADA,45.4020324,-73.6009151,NEW45
TOXCO WASTE MANAGEMENT,384 HIGHWAY 22A,TRAIL,BRITISH COLUMBIA,V1R2Y8,CANADA,,,TOX
CRI ENVIRONMENT INC,75 RUE DU PROGRES,COTEAU DU LAC,QUEBEC,J0P1B0,CANADA,45.29627,-74.20416,CRI45
ENVIROGREEN TECHNOLOGIES LTD,"LELA, LOT 401, SIMILCO MINE",PRINCETON,BRITISH COLUMBIA,V0X1W0,CANADA,,,ENV
ENGLOBE CORP,8365 BROADWAY NORD,MONTREAL,QUEBEC,H1B5X7,CANADA,45.64219,-73.55061,ENG45
HORIZON ENVIRONMENT INC,120 ROUTE 155,GRANDES-PILES,QUEBEC,G0X1H0,CANADA,46.6709862,-72.6774056,HOR46
CLEAN HARBORS,4090 TELFER ROAD,CORUNNA,ONTARIO,N0N1C0,CANADA,42.8785,-82.30195,CLE42
CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,CANADA,43.4981162,-79.626647,CLE43
STABLEX CANADA INC,760 BOULEVARD INDUSTRIEL,BLAINVILLE,QUEBEC,S7C3V4,CANADA,45.6707217,-73.8602547,STA45
CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0,CANADA,45.5884931,-75.2422109,CLE45
CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,,CANADA,43.4981162,-79.626647,CLE43
CLEAN HARBORS,4090 TELFER ROAD,CORUNNA,ONTARIO,N0N 1G0,CANADA,42.8785,-82.30195,CLE42
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,L4N1J2,CANADA,44.43435,-79.73776,NEW44
CRI ENVIRONMENT INC,75 DU PROGRESS STREET,COTEAU-DU-LAC,QUEBEC,,CANADA,45.29627,-74.20416,CRI45
SOLUTION EAU AIR SOL,8365 AVENUE BROADWAY NORD,MONTREAL-EAST,QUEBEC,,CANADA,45.64219,-73.55061,SOL45
SOLUTION EAU AIR SOL,8365 AVENUE BROADWAY NORD,MONTREAL-EAST,QUEBEC,PQ 157,CANADA,45.64219,-73.55061,SOL45
STABLEX CANADA INC,760 INDUSTRIAL AVE,BLAINVILLE,QUEBEC,,CANADA,,,STA
SOLUTION EAU AIR SOL,8365 AVENUE BROADWAY NORD,MONTREAL-EST,QUEBEC,H1B5X7,CANADA,45.64219,-73.55061,SOL45
CHEMREC INC,190 BROSSEAU,COWANSVILLE,QUEBEC,,CANADA,45.22288,-72.77512,CHE45
NEWALTA,125 RUE BELANGER,CHATEAUGUAY,QUEBEC,,CANADA,45.3495908,-73.6955324,NEW45
TOXCO WASTE MANAGEMENT,9384 HIGHWAY 22A,TRAIL,BRITISH COLUMBIA,,CANADA,49.043486,-117.6056404,TOX49
ATOMIC ENERGY OF CANADA LTD,PLANT ROAD,CHALK RIVER,ONTARIO,K0J1J0,CANADA,,,ATO
STABLEX CANADA INC,760 INDUSTRIAL BLVD,BLAINVILLE,QUEBEC,J7C3V4,CANADA,,,STA
RECUPERE SOL INC,80 RUE DES MELEZES,ST AMBROISE,QUEBEC,G7P2N4,CANADA,48.5400533,-71.292465,REC48
CHEMREC INC,190 BROSSEAU STREET,COWANSVILLE,QUEBEC,J2K3G6,CANADA,45.22288,-72.77512,CHE45
NEWALTA,125 RUE BELANGER,CHATEAUGUAY,QUEBEC,J6J4Z2,CANADA,45.3495908,-73.6955324,NEW45
HORIZON ENVIRONMENT INC,120 ROUTE 155,GRANDES PILES,QUEBEC,G0X1H0,CANADA,46.6709862,-72.6774056,HOR46
CYANIDE DESTRUCT SERVICES,293 SAUNDERS ROAD,BARRIE,ONTARIO,L4N9A3,CANADA,44.33466,-79.66607,CYA44
NEWALTA CORPORATION,1731 PETTIT ROAD,FORT ERIE,ONTARIO,L2A5M4,CANADA,42.92318,-78.96801,NEW42
TOXCO WASTE MANAGEMENT,9384 HIGHWAY 22A,TRAIL,BRITISH COLUMBIA,V14DW6,CANADA,49.043486,-117.6056404,TOX49
NEWALTA CORPORATION,125 BELANGER STREET,CHATEAUGUAY,QUEBEC,J6J4Z2,CANADA,45.3495908,-73.6955324,NEW45
XSTRATA CANADA,156 MARCEL-BARIL AVE,ROUYN-NORANDA,QUEBEC,J9X7C1,CANADA,48.2591909,-79.0147007,XST48
CRI ENVIRONMENT INC,75 RUE DU PROGRES,COTEAU DU LAC,QUEBEC,,CANADA,45.29627,-74.20416,CRI45
#N/A,,,,,,,,#N/A
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,L41J2,CANADA,44.43435,-79.73776,NEW44
CLEAN HARBORS CANADA INC,RR #1 4070 TELFER ROAD,CORUNNA,ONTARIO,,CANADA,42.8775143,-82.3032929,CLE42
"CUSTOM ENVIRONMENTAL SERVICES, LTD.",7722 9TH STREET,EDMONTON,ALBERTA,T6P1L6,CANADA,53.51401,-113.36102,CUS53
CRI ENVIRONMENT INC,75 RUE DU PROGRES,COTEAU-DU-LAC,QUEBEC,J0P1B0,CANADA,45.29627,-74.20416,CRI45
NEWALTA INDUSTRIAL SERVICES,1731 PETTIT RD,FORT ERIE,ONTARIO,L2A5N1,CANADA,42.92318,-78.96801,NEW42
CLEAN HARBORS CANADA INC,RR #1 4090 TELFER SIDE ROAD,CORUNNA,ONTARIO,N0N1G0,CANADA,42.8785,-82.30195,CLE42
ENVIROGREEN TECHNOLOGIES,"LELA LOT 401, SIMILCO MINE SITE",PRINCETON,BRITISH COLUMBIA,V0X1W0,CANADA,,,ENV
"INTERNATIONAL MARINE SALVAGE, INC.",17 INVERTOSE DRIVE,PORT COLBORNE,ONTARIO,L3K5V5,CANADA,42.92283,-79.25346,INT42
CRI ENVIRONMENT INC,75 RUE DU PROGRES,COTEAU-DU-LAC,QUEBEC,70P1B0,CANADA,45.29627,-74.20416,CRI45
XSTRATA CORP,692 MAIN STREET,BELLEDUNE,NEW BRUNSWICK,E8G2M1,CANADA,47.8965538,-65.830789,XST47
SMC CANADA LTD,MCALPINE SITE / COLEMAN TOWNSHIP,COBALT,ONTARIO,P0J1C0,CANADA,,,SMC
CLEAN HARBORS CANADA INC,4090 TELFER ROAD - RR1,CORUNNA,ONTARIO,N0N1G0,CANADA,42.8785,-82.30195,CLE42
EXTOX INDUSTRIES INC,6419 NETHERHART ROAD,MISSISSAUGA,ONTARIO,L5T1C3,CANADA,43.67102,-79.64624,EXT43
CHEMREC,"190, RUE BROSSEAU",COWANSVILLE,QUEBEC,J2K3G6,CANADA,45.22288,-72.77512,CHE45
NEWALTA INDUSTRIAL SERVICES,1731 PETTIT RD,FORT ERIE,ONTARIO,L2A5M4,CANADA,42.92318,-78.96801,NEW42
CRI ENVIRONMENT INC,75 RUE DU PROGRES,COTEAU-DU-LAC,,J0P1B0,CANADA,45.29627,-74.20416,CRI45
UMICORE PRECIOUS METALS (HOBOKEN),A. GREINERSTRAAT 14 B-2660 HOBOKEN,,,,BELGIUM,51.16969,4.34202,UMI51
STABLEX CANADA,760 BOUL INDUSTRIEL,BLAINSVILLE,QUEBEC,J7C3V4,CANADA,45.6707217,-73.8602547,STA45
STABLEX CANADA INC,760 INDUSTRIAL BLVD,BLAINSVILLE,QUEBEC,J7C3V4,CANADA,,,STA
CLEAN HARBORS CANADA INC,4090 TELFER ROAD  ,CORUNNA,ONTARIO,NON160,CANADA,42.8785,-82.30195,CLE42
CYANIDE DESTRUCT SERVICES,293 SAUNDERS ROAD,BARRIE,ONTARIO,L4M6E7,CANADA,44.33466,-79.66607,CYA44
SOLUTION EAU AIR SOL,8365 AVENUE BROADWAY NORD,MONTREAL-EST,QUEBEC,,CANADA,45.64219,-73.55061,SOL45
SERVICES SANITAIRES DE RECYCLAGE EXPERT INC,8381 PLACE MARIEN,MONTREAL EAST,QUEBEC,H1B 1W6,CANADA,45.64239,-73.53895,SER45
STABLEX CANADA,750 BOUL INDUSTRIAL,BLAINVILLE,QUEBEC,J7C3V4,CANADA,,,STA
"NOVA PB, INC (SUBSIDIARY OF NEWALTA)",1200 RUE GARNIER,VILLE-ST-CATHERINE,QUEBEC,J5C1B4,CANADA,45.4020369,-73.6012997,NOV45
CUSTOM ENVIRONMENTAL SERVICES,7722-9TH STREET,EDMONTON,ALBERTA,T6P1L,CANADA,53.51401,-113.36102,CUS53
CHEMREC INC,190 BROSSEAU,COWANSVILLE,QUEBEC,J2K#G6,CANADA,45.22288,-72.77512,CHE45
STABLEX CANADA,760 BLVD INDUSTRIEL,BLAINVILLE,QUEBEC,J7C3V4,CANADA,45.6707217,-73.8602547,STA45
WHA-CHANG COMPANY LTD,"625-1 GYENAE-RI, CHILSEO-MYEON, HAMAN-GUN",GYEONGSANGNAM-DO,,,KOREA,,,WHA
CHEMREC INC,190 BROSSEAU,COWANSVILLE,QUEBEC,J2K3G6,CANADA,45.22288,-72.77512,CHE45
FALCONBRIDGE LTD / XSTRATA CANADA CORPORATION,156 MARCEL-BARIL AVENUE,ROUYN-XSTRATA,QUEBEC,J9X7C!,CANADA,,,FAL
ZINC NACIONAL S.A.,SERAFIN PENA SUR 938,MONTERREY,NUEVO LEON,64000,MEXICO,25.6971,-100.3233,ZIN25
M3 RESOURCES MEXICO S.DE.R.L.DE C.V.,NORTHERN INDUSTRIAL AVENUE BLOCK 6 LOT 1 NORTHERN INDUSTRIAL PARK CP 88730,REYNOSA TAMPS,,,MEXICO,26.04345,-98.23082,M3 26
ZINC NACIONAL S.A.,"SERAFIN PENA SUR 938, ADPO. POSTAL 3062",MONTERREY,NUEVO LEON,64000,MEXICO,25.69432,-100.3233,ZIN25
ZINC NACIONAL S.A.,SERAFIN PENA #938,MONTERREY,NUEVO LEON,64000,MEXICO,25.658706,-100.3281004,ZIN25
ZINC NACIONAL S.A.,SERAFIN PENA 938 SUR,MONTERREY,NUEVO LEON,64000,MEXICO,25.66874,-100.32619,ZIN25
STABLEX CANADA INC,760 INDUSTRIAL BLVD,BLAINVILLE,QUEBEC,17335,CANADA,,,STA
CUSTOM ENVIRONMENTAL SERVICES,7722-9TH STREET,EDMONTON,ALBERTA,36713,CANADA,53.51401,-113.36102,CUS53
CRI ENVIRONMENT INC,75 RUE DU PROGRES,COTEAU-DU-LAC,QUEBEC,J0P1B ,CANADA,45.29627,-74.20416,CRI45
HORIZON ENVIRONMENTAL INC (NOT REQ 111),120 ROAD 155,GRAND-PILES,QUEBEC,G0X1H-0,CANADA,46.6709862,-72.6774056,HOR46
NEWALTA,125 RUE BELANGER,CHATEAUGUAY,QUEBEC,J6J42-2,CANADA,45.3495908,-73.6955324,NEW45
STABLEX CANADA,760 BOUL INDUSTRIEL,BLAINVILLE,QUEBEC,J7C3V4,CANADA,45.6707217,-73.8602547,STA45
CLEAN HARBORS CANADA INC,2 KM N OF HWY 14 ON SECONDARY ROAD 854,RYLEY,ALBERTA,T0B4A0,CANADA,,,CLE
CLEAN HARBORS QUEBEC INC,"RANGES EST, 400 RUE GALIPEAU",THURSO,QUEBEC,PQJOX3B0,CANADA,45.60249,-75.24419,CLE45
CRI ENVIRONMENT,75 DU PROGRES STREET,COTEAU-DU-LAC,QUEBEC,J0P1B0,CANADA,45.29627,-74.20416,CRI45
CLEAN HARBORS CANADA INC,RR #1 (TELFER ROAD),CORUNNA,ONTARIO,N0N1C0,CANADA,,,CLE
"RECICLADORA TEMARRY DE MEXICO, SA DE CV",CARRETERA FED NO 2 MEXICALI-TIJUANA KM 121 SAN PABLO,TECATE,BAJA CALIFORNIA,21530,MEXICO,32.5768374,-116.6136287,REC32
STABLE-X CANADE INC,760 INDUSTRIAL BOULEVARD,BLAINVILLE,QUEBEC,J7C3V4,CANADA,,,STA
SOLUTION EAU AIR SOL,8365 AVENUE BROADWAY NORD,MONTREAL-EAST,QUEBEC,H1B5X7,CANADA,45.64219,-73.55061,SOL45
"NOVA PB, INC (SUBSIDIARY OF NEWALTA)",1200 RUE GARNIER,VILLE STE CATHERINE,QUEBEC,J5C1B4,CANADA,45.4020369,-73.6012997,NOV45
ZINC NACIONAL S.A.,SERAFIN PENA #938,MONTERRY,NUEVO LEON,64000,MEXICO,25.66874,-100.32619,ZIN25
ZINC NACIONAL S.A.,SERAFIN PENA #938 SUR,MONTERRY,NUEVO LEON,64000,MEXICO,25.66874,-100.32619,ZIN25
ZINC NACIONAL S.A.,"SERAFIN PENA #938 SUR, ADPO POSTAL 3062",MONTERRY,NUEVO LEON,64000,MEXICO,,,ZIN
BRIDGEPORT UNITED RECYCLING INC,50 CROSS ST,BRIDGEPORT,CT,6610,UNITED STATES,39.4432564,-98.9573364,BRI39
RECUPERE SOL INC,80 RUE DES MELEZES,SAINT AMBROISE,QUEBEC,G7P2N4,CANADA,48.5400533,-71.292465,REC48
ENVIROGREEN TECHNOLOGIES LTD,"LELA LOT 401, DIMILCO MINE SITE",PRINCETON,BRITISH COLUMBIA,V0X1W0,CANADA,,,ENV
HORIZON ENVIRONMENT INC,120 ROUTE 155,GRANDES PILES,QUEBEC,G0X1HG,CANADA,46.6709862,-72.6774056,HOR46
STABLEX,750 BOUL INDUSTRIEL,BLAINVILLE,QUEBEC,J7C3V4,CANADA,45.6702697,-73.8596508,STA45
RECUPERE SOL INC,80 RUE DES MELEZES,ST. AMBROISE,QUEBEC,,CANADA,48.5400533,-71.292465,REC48
RECUPERE SOL INC,80 RUE DES MELEZES,ST. AMBROISE,QUEBEC,G7P2N4,CANADA,48.5400533,-71.292465,REC48
CRI ENVIRONMENT INC,75 RUE DU PROGRES,COTEAU-DA-LAC,,J0P1B0,CANADA,45.29627,-74.20416,CRI45
GIANT RESOURCE RECOVERY-SUMTER,755 INDUSTRIAL ROAD,SUMTER,SC,29150,UNITED STATES,33.9066618,-80.3315498,GIA33
CRI ENVIRONMENT INC,75 RUE DU PROGRES,COTEAU-DA-LAC,QUEBEC,J0P1B0,CANADA,45.29627,-74.20416,CRI45
HORIZON ENVIRONMENT INC,120 ROUTE 155,GRAND PILES,QUEBEC,G0X1H0,CANADA,46.6709862,-72.6774056,HOR46
CHEMREC,190 RUE BROSSEAU,COWANSVILLE,QUEBEC,,CANADA,45.22288,-72.77512,CHE45
FIELDING CHEMICAL TECHNOLOGIES INC,3549 MAVIS ROAD,MISSISSAUGA,ONTARIO,L5C2V9,CANADA,43.5778899,-79.6478,FIE43
CLEAN HARBORS CANADA INC,4090 TELFER ROAD RR#1,CORUNNA,ONTARIO,N0N1G0,CANADA,42.8785,-82.30195,CLE42
CHEMREC,RUE 190 BROSSEAU,COWANSVILLE,QUEBEC,J2K3G6,CANADA,45.22288,-72.77512,CHE45
NEWALTA INDUSTRIAL SERVICES,1731 BETTIT ROAD,FORT ERIE,ONTARIO,L2A5N1,CANADA,42.92318,-78.96801,NEW42
CHEMREC,190 RUE BROSSEAU,COWANSVILLE,QUEBEC,J2K3G6,CANADA,45.22288,-72.77512,CHE45
#N/A,,,ONTARIO,,CANADA,50.0665398,-85.829277,#N/A
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,L4 1J2,CANADA,44.43435,-79.73776,NEW44
SERVICES SANITAIRES DE RECYCLAGE EXPERT INC,8381 PLACE MARIEN,MONTRAL-EST,QUEBEC,H1B5W6,CANADA,45.64239,-73.53895,SER45
LAFARGE CEMENT,1 LAFARGE STREET,ST. CONSTANT,QUEBEC,J5A2G4,CANADA,,,LAF
ST. MARYS CEMENT,585 WATER STREET SOUTH,ST. MARYS,ONTARIO,N4X1B6,CANADA,,,ST.
CLEAN HARBORS CANADA INC,RR #1 4090 TELFER ROAD,CORUNNA,ONTARIO,N0N1G0,CANADA,42.8785,-82.30195,CLE42
STABLEX CANADA INC,760 BOULEVARD INDUSTRIAL,BLAINVILLE,QUEBEC,J7C3V4,CANADA,,,STA
STABLEX,"760, BOUL INDUSTRIEL",BLAINVILLE,QUEBEC,J7C3V4,CANADA,45.6707217,-73.8602547,STA45
ZINC NACIONAL S.A.,SERAFIN PENA SUR 938,MONTERRY,NL,64000,MEXICO,25.6971,-100.3233,ZIN25
ZINC NACIONAL S.A.,"HIDALGO 674 PTE., APDO 985",MONTERREY,N.L.,64000,MEXICO,25.73263,-100.3237,ZIN25
#N/A,,MONTERREY,N.L.,64000,MEXICO,25.6709709,-100.3099823,
ZINC NACIONAL S.A.,SERAFIN PENA 938 SUR,MONTERREY,N.L.,64000,MEXICO,25.66874,-100.32619,ZIN25
RECICLADORA TEMARRY DE MEXICO,CARRETERA FED NO 2 MEX,SAN PABLO,"TECATE, BC",,MEXICO,19.42594,-99.12825,REC19
XSTRATA CANAD CORP. HORNE SMELTER,156 MARCEL - BARIL AVENUE,ROUYN-XSTRATA,QUEBEC,J9X7C!,CANADA,,,XST
PRONORTH TRUCKING (TRANSBOUNDARY HAULER),348 BIRCHES ROAD,NORTH BAY,ONTARIA,P1B8Z4,CANADA,46.26999,-79.4114,PRO46
CHEMREC INC,190 BROSSEAU,COWANSVILLE,QC,J2K3G6,CANADA,45.22288,-72.77512,CHE45
HORIZON ENVIRONMENT INC,"120, ROAD 155",GRAD-PILES,PQ,G0X1H-0,CANADA,46.6709862,-72.6774056,HOR46
NEWALTA,125 RUE BELANGER,CHATEAUGUAY,PG,J6J42-2,CANADA,45.3495908,-73.6955324,NEW45
STABLEX CANADA INC,760 BOUL. INDUSTRIEL,BLAINVILLE,QUEBEC,J7C3V4,CANADA,45.6707217,-73.8602547,STA45
CYANIDE DESTRUCT SERVICES,293 SAUNDERS ROAD,BARRIE,ONTARIO,,CANADA,44.33466,-79.66607,CYA44
STABLEX CANADA INC,760 BOUL. INDUSTRIAL,BLAINVILLE,QUEBEC,J7C3V4,CANADA,,,STA
