county,fips,cand,st,pct_report,votes,total_votes,pct,lead
Elmore County,1051,Donald Trump,AL,1,27619,36905,0.748380978,Donald Trump
Cape Girardeau County,29031,Donald Trump,MO,1,26939,36875,0.730549153,Donald Trump
Lowndes County,13185,Donald Trump,GA,1,21308,36813,0.578817266,Donald Trump
Howard County,18067,Donald Trump,IN,1,23675,36754,0.644147576,Donald Trump
Erie County,39043,Donald Trump,OH,1,19301,36730,0.525483256,Donald Trump
Augusta County,51015,Donald Trump,VA,1,26152,36661,0.713346608,Donald Trump
Wayne County,36117,Donald Trump,NY,1,21935,36598,0.599349691,Donald Trump
Rockingham County,51165,Donald Trump,VA,1,25269,36536,0.691619225,Donald Trump
Ector County,48135,Donald Trump,TX,1,24976,36373,0.686663184,Donald Trump
Muskingum County,39119,Donald Trump,OH,1,23588,36217,0.651296353,Donald Trump
Sevier County,47155,Donald Trump,TN,1,28610,36180,0.79076838,Donald Trump
Bullitt County,21029,Donald Trump,KY,1,26210,36054,0.726965108,Donald Trump
Hancock County,18059,Donald Trump,IN,1,25050,36027,0.695311849,Donald Trump
Caldwell County,37027,Donald Trump,NC,1,26499,35747,0.741292976,Donald Trump
Monongalia County,54061,Donald Trump,WV,1,18278,35733,0.511515966,Donald Trump
Somerset County,42111,Donald Trump,PA,1,27347,35730,0.765379233,Donald Trump
Skagit County,53057,Donald Trump,WA,0.6286,15541,35727,0.434993142,Hillary Clinton
Crow Wing County,27035,Donald Trump,MN,1,22287,35568,0.626602564,Donald Trump
Buchanan County,29021,Donald Trump,MO,1,21315,35563,0.599358884,Donald Trump
Crawford County,42039,Donald Trump,PA,1,23912,35563,0.67238422,Donald Trump
Navajo County,4017,Donald Trump,AZ,1,18165,35409,0.513005168,Donald Trump
Craighead County,5031,Donald Trump,AR,1,22798,35404,0.643938538,Donald Trump
Lynchburg city,51680,Donald Trump,VA,1,17979,35349,0.508614105,Donald Trump
Wood County,54107,Donald Trump,WV,1,25168,35256,0.713864307,Donald Trump
Hancock County,39063,Donald Trump,OH,1,23777,35216,0.675176056,Donald Trump
St. Lawrence County,36089,Donald Trump,NY,1,18450,35154,0.524833589,Donald Trump
Maury County,47119,Donald Trump,TN,1,23781,35068,0.678139614,Donald Trump
Northumberland County,42097,Donald Trump,PA,1,24418,34971,0.698235681,Donald Trump
Marshall County,1095,Donald Trump,AL,1,29217,34965,0.835607036,Donald Trump
Aroostook County,23003,Donald Trump,ME,1,19419,34963,0.555415725,Donald Trump
Belknap County,33001,Donald Trump,NH,1,19315,34497,0.55990376,Donald Trump
Bowie County,48037,Donald Trump,TX,1,24913,34470,0.722744415,Donald Trump
Polk County,48373,Donald Trump,TX,1,26587,34444,0.771890605,Donald Trump
Madera County,6039,Donald Trump,CA,1,19221,34263,0.560984152,Donald Trump
Jefferson County,36045,Donald Trump,NY,1,19947,34263,0.58217319,Donald Trump
Floyd County,13115,Donald Trump,GA,1,24045,34250,0.702043796,Donald Trump
York County,51199,Donald Trump,VA,1,18823,34062,0.552609947,Donald Trump
Shiawassee County,26155,Donald Trump,MI,1,19232,34044,0.564915991,Donald Trump
Glynn County,13127,Donald Trump,GA,1,21482,34041,0.631062542,Donald Trump
Dougherty County,13095,Donald Trump,GA,1,10227,33925,0.301459101,Hillary Clinton
Cascade County,30013,Donald Trump,MT,1,19343,33923,0.570203107,Donald Trump
Sauk County,55111,Donald Trump,WI,1,15871,33848,0.468890333,Hillary Clinton
Lewis and Clark County,30049,Donald Trump,MT,1,16665,33800,0.493047337,Donald Trump
Humboldt County,6023,Donald Trump,CA,1,10883,33636,0.323552147,Hillary Clinton
Walton County,12131,Donald Trump,FL,1,25695,33559,0.765666438,Donald Trump
Oconee County,45073,Donald Trump,SC,1,24096,33530,0.718640024,Donald Trump
Bannock County,16005,Donald Trump,ID,1,17180,33405,0.514294267,Donald Trump
Nevada County,6057,Donald Trump,CA,1,14686,33258,0.441577966,Hillary Clinton
Blue Earth County,27013,Donald Trump,MN,1,15667,33256,0.471102959,Donald Trump
Talladega County,1121,Donald Trump,AL,1,20596,33218,0.620025287,Donald Trump
Van Buren County,26159,Donald Trump,MI,1,17890,33213,0.538644507,Donald Trump
Chemung County,36015,Donald Trump,NY,1,19025,33195,0.573128483,Donald Trump
Marquette County,26103,Donald Trump,MI,1,14646,32897,0.44520777,Hillary Clinton
Oldham County,21185,Donald Trump,KY,1,20469,32853,0.623048123,Donald Trump
Cabell County,54011,Donald Trump,WV,1,19648,32701,0.600837895,Donald Trump
Clearfield County,42033,Donald Trump,PA,1,23909,32692,0.731341001,Donald Trump
Putnam County,12107,Donald Trump,FL,1,21873,32652,0.669882396,Donald Trump
Comanche County,40031,Donald Trump,OK,1,19153,32504,0.589250554,Donald Trump
Natrona County,56025,Donald Trump,WY,1,23523,32493,0.723940541,Donald Trump
Iberia Parish,22045,Donald Trump,LA,1,20903,32454,0.644080853,Donald Trump
Bartholomew County,18005,Donald Trump,IN,1,20637,32389,0.637160764,Donald Trump
Otter Tail County,27111,Donald Trump,MN,1,20939,32284,0.648587536,Donald Trump
Rice County,27131,Donald Trump,MN,1,15429,32217,0.478908651,Donald Trump
Boone County,18011,Donald Trump,IN,1,19654,32061,0.613018933,Donald Trump
Hancock County,23009,Donald Trump,ME,1,13682,31983,0.427789763,Hillary Clinton
Lee County,28081,Donald Trump,MS,1,21695,31974,0.678520048,Donald Trump
Kosciusko County,18085,Donald Trump,IN,1,23909,31907,0.749334002,Donald Trump
Twin Falls County,16083,Donald Trump,ID,1,21063,31893,0.660427053,Donald Trump
Adams County,17001,Donald Trump,IL,1,22732,31770,0.715517784,Donald Trump
Orange County,48361,Donald Trump,TX,1,25385,31761,0.799250653,Donald Trump
Pittsylvania County,51143,Donald Trump,VA,1,21742,31687,0.686148894,Donald Trump
Surry County,37171,Donald Trump,NC,1,23495,31663,0.742033288,Donald Trump
Napa County,6055,Donald Trump,CA,1,9335,31534,0.296029682,Hillary Clinton
Georgetown County,45043,Donald Trump,SC,1,17334,31519,0.549953996,Donald Trump
Chippewa County,55017,Donald Trump,WI,1,17912,31471,0.569158908,Donald Trump
Williamson County,17199,Donald Trump,IL,1,21503,31422,0.684329451,Donald Trump
Livingston County,36051,Donald Trump,NY,1,19211,31363,0.612537066,Donald Trump
Jefferson County,39081,Donald Trump,OH,1,20668,31346,0.659350475,Donald Trump
McCracken County,21145,Donald Trump,KY,1,20774,31294,0.663833323,Donald Trump
Wagoner County,40145,Donald Trump,OK,1,22967,31246,0.735038085,Donald Trump
Hunt County,48231,Donald Trump,TX,1,23866,31185,0.765303832,Donald Trump
Morgan County,18109,Donald Trump,IN,1,23671,31180,0.759172547,Donald Trump
Oxford County,23017,Donald Trump,ME,1,16214,31094,0.521451084,Donald Trump
Victoria County,48469,Donald Trump,TX,1,21253,31032,0.684873679,Donald Trump
Wilkes County,37193,Donald Trump,NC,1,23613,30844,0.765562184,Donald Trump
La Plata County,8067,Donald Trump,CO,1,12471,30722,0.405930603,Hillary Clinton
Belmont County,39013,Donald Trump,OH,1,20729,30537,0.678815863,Donald Trump
Armstrong County,42005,Donald Trump,PA,1,22676,30446,0.744794062,Donald Trump
Whitfield County,13313,Donald Trump,GA,1,21514,30362,0.708583097,Donald Trump
Barry County,26015,Donald Trump,MI,1,19197,30265,0.634297043,Donald Trump
Coos County,41011,Donald Trump,OR,1,17699,30181,0.586428548,Donald Trump
Haywood County,37087,Donald Trump,NC,1,18844,30156,0.624883937,Donald Trump
Cayuga County,36011,Donald Trump,NY,1,16194,30124,0.537578011,Donald Trump
Chisago County,27025,Donald Trump,MN,1,18441,30009,0.614515645,Donald Trump
Franklin County,37069,Donald Trump,NC,1,16320,29902,0.545782891,Donald Trump
Angelina County,48005,Donald Trump,TX,1,21666,29870,0.725343154,Donald Trump
Henderson County,48213,Donald Trump,TX,1,23574,29855,0.78961648,Donald Trump
Vermilion County,17183,Donald Trump,IL,1,18582,29799,0.623577972,Donald Trump
Rutherford County,37161,Donald Trump,NC,1,21694,29764,0.728867088,Donald Trump
Anderson County,47001,Donald Trump,TN,1,19201,29723,0.645998049,Donald Trump
Grand Forks County,38035,Donald Trump,ND,1,16325,29711,0.549459796,Donald Trump
Leavenworth County,20103,Donald Trump,KS,1,17387,29676,0.585894325,Donald Trump
Darlington County,45031,Donald Trump,SC,1,14973,29636,0.505230126,Donald Trump
Scioto County,39145,Donald Trump,OH,1,19742,29618,0.666554122,Donald Trump
Warrick County,18173,Donald Trump,IN,1,19133,29609,0.646188659,Donald Trump
Stanly County,37167,Donald Trump,NC,1,21788,29451,0.7398051,Donald Trump
Raleigh County,54081,Donald Trump,WV,1,21835,29311,0.744942172,Donald Trump
Columbia County,55021,Donald Trump,WI,1,14160,29287,0.483490969,Donald Trump
Walker County,1127,Donald Trump,AL,1,24208,29243,0.827822043,Donald Trump
Klamath County,41035,Donald Trump,OR,1,20170,29240,0.689808482,Donald Trump
Salem County,34033,Donald Trump,NJ,1,16256,29220,0.55633128,Donald Trump
Clallam County,53009,Donald Trump,WA,0.7083,13741,29202,0.470549962,Donald Trump
Clay County,27027,Donald Trump,MN,1,13549,29108,0.465473409,Donald Trump
Carroll County,33003,Donald Trump,NH,1,14635,29083,0.503214937,Donald Trump
Washington County,39167,Donald Trump,OH,1,19901,28992,0.68643074,Donald Trump
Lauderdale County,28075,Donald Trump,MS,1,17574,28967,0.606690372,Donald Trump
Cattaraugus County,36009,Donald Trump,NY,1,18668,28961,0.644591002,Donald Trump
Ross County,39141,Donald Trump,OH,1,17833,28955,0.615886721,Donald Trump
Kershaw County,45055,Donald Trump,SC,1,17464,28875,0.604813853,Donald Trump
Barrow County,13013,Donald Trump,GA,1,21105,28828,0.732100735,Donald Trump
Creek County,40037,Donald Trump,OK,1,21539,28786,0.748245675,Donald Trump
Watauga County,37189,Donald Trump,NC,1,13521,28769,0.469985053,Hillary Clinton
Carbon County,42025,Donald Trump,PA,1,18714,28721,0.651578984,Donald Trump
Columbia County,12023,Donald Trump,FL,1,20359,28696,0.709471703,Donald Trump
Washington County,50023,Donald Trump,VT,1,7993,28654,0.278948838,Hillary Clinton
Greenwood County,45047,Donald Trump,SC,1,16881,28600,0.590244755,Donald Trump
Clinton County,36019,Donald Trump,NY,1,13181,28378,0.464479526,Hillary Clinton
Potter County,48375,Donald Trump,TX,1,19499,28330,0.688280974,Donald Trump
Jones County,28067,Donald Trump,MS,1,20076,28250,0.710654867,Donald Trump
Bastrop County,48021,Donald Trump,TX,1,16314,28250,0.577486726,Donald Trump
Pulaski County,21199,Donald Trump,KY,1,22900,28034,0.816865235,Donald Trump
White County,5145,Donald Trump,AR,1,21038,27945,0.752835928,Donald Trump
Athens County,39009,Donald Trump,OH,1,10816,27941,0.387101392,Hillary Clinton
Douglas County,32005,Donald Trump,NV,1,17406,27871,0.624520111,Donald Trump
Harrison County,54033,Donald Trump,WV,1,18687,27868,0.67055404,Donald Trump
Windsor County,50027,Donald Trump,VT,1,8604,27832,0.309140558,Hillary Clinton
Allegany County,24001,Donald Trump,MD,1,20025,27804,0.720220112,Donald Trump
Knox County,39083,Donald Trump,OH,1,18563,27768,0.668503313,Donald Trump
Payne County,40119,Donald Trump,OK,1,16644,27749,0.599805398,Donald Trump
Rutland County,50021,Donald Trump,VT,1,12471,27660,0.450867679,Hillary Clinton
Warren County,36113,Donald Trump,NY,1,14284,27568,0.51813697,Donald Trump
Valencia County,35061,Donald Trump,NM,1,13175,27509,0.478934167,Donald Trump
Sandusky County,39143,Donald Trump,OH,1,16045,27491,0.583645557,Donald Trump
Madison County,36053,Donald Trump,NY,1,14901,27392,0.543990946,Donald Trump
Acadia Parish,22001,Donald Trump,LA,1,21159,27386,0.772621047,Donald Trump
Forrest County,28035,Donald Trump,MS,1,15149,27284,0.555233837,Donald Trump
Columbia County,36021,Donald Trump,NY,1,12756,27255,0.468024216,Hillary Clinton
Campbell County,51031,Donald Trump,VA,1,19442,27218,0.714306709,Donald Trump
Grant County,53025,Donald Trump,WA,0.8947,17813,27144,0.65624079,Donald Trump
Columbia County,42037,Donald Trump,PA,1,17387,27127,0.640948133,Donald Trump
Mason County,53045,Donald Trump,WA,0.8889,13256,27124,0.488718478,Donald Trump
Pender County,37141,Donald Trump,NC,1,17317,27072,0.639664598,Donald Trump
Jackson County,13157,Donald Trump,GA,1,21754,27057,0.804006357,Donald Trump
Butler County,20015,Donald Trump,KS,1,18781,27051,0.694281173,Donald Trump
Robertson County,47147,Donald Trump,TN,1,19393,27042,0.717143702,Donald Trump
Lonoke County,5085,Donald Trump,AR,1,19902,27007,0.736920058,Donald Trump
Putnam County,47141,Donald Trump,TN,1,18981,26958,0.704095259,Donald Trump
Granville County,37077,Donald Trump,NC,1,13500,26920,0.501485884,Donald Trump
Warren County,19181,Donald Trump,IA,1,14773,26916,0.548855699,Donald Trump
Ward County,38101,Donald Trump,ND,1,18601,26861,0.692490972,Donald Trump
Franklin County,51067,Donald Trump,VA,1,18560,26805,0.692408133,Donald Trump
Montcalm County,26117,Donald Trump,MI,1,16907,26556,0.636654617,Donald Trump
Union County,39159,Donald Trump,OH,1,17601,26533,0.663362605,Donald Trump
Catoosa County,13047,Donald Trump,GA,1,20860,26510,0.786872878,Donald Trump
Sullivan County,36105,Donald Trump,NY,1,14626,26509,0.551737146,Donald Trump
Newton County,29145,Donald Trump,MO,1,20546,26506,0.77514525,Donald Trump
Cache County,49005,Donald Trump,UT,0.6,12385,26492,0.467499623,Donald Trump
Laurens County,45059,Donald Trump,SC,1,16770,26474,0.633451688,Donald Trump
Calumet County,55015,Donald Trump,WI,1,15345,26429,0.580612206,Donald Trump
Ionia County,26067,Donald Trump,MI,1,16374,26364,0.621074192,Donald Trump
Harrison County,48203,Donald Trump,TX,1,18712,26364,0.709755728,Donald Trump
Kauai County,15007,Donald Trump,HI,1,7574,26335,0.287602051,Hillary Clinton
Garfield County,8045,Donald Trump,CO,1,13071,26328,0.496467639,Donald Trump
Cumberland County,47035,Donald Trump,TN,1,20410,26298,0.776104647,Donald Trump
St. Charles Parish,22089,Donald Trump,LA,1,16620,26190,0.634593356,Donald Trump
Tuscola County,26157,Donald Trump,MI,1,17421,26157,0.666016745,Donald Trump
Hood County,48221,Donald Trump,TX,1,21367,26120,0.818032159,Donald Trump
Umatilla County,41059,Donald Trump,OR,1,16775,26116,0.642326543,Donald Trump
DeKalb County,1049,Donald Trump,AL,1,21779,26086,0.834892279,Donald Trump
Pike County,42103,Donald Trump,PA,1,16035,26066,0.615169186,Donald Trump
Somerset County,23025,Donald Trump,ME,1,14998,25968,0.577556993,Donald Trump
Lawrence County,39087,Donald Trump,OH,1,18240,25949,0.702917261,Donald Trump
Spalding County,13255,Donald Trump,GA,1,15636,25940,0.602775636,Donald Trump
Winona County,27169,Donald Trump,MN,1,12122,25852,0.468899892,Donald Trump
Jefferson County,5069,Donald Trump,AR,1,9231,25821,0.35749971,Hillary Clinton
Troup County,13285,Donald Trump,GA,1,15643,25793,0.606482379,Donald Trump
St. Martin Parish,22099,Donald Trump,LA,1,16872,25749,0.655248748,Donald Trump
Washington County,51191,Donald Trump,VA,1,19309,25715,0.750884698,Donald Trump
Marion County,39101,Donald Trump,OH,1,16563,25648,0.645781347,Donald Trump
Sampson County,37163,Donald Trump,NC,1,14761,25638,0.575746938,Donald Trump
Wayne County,18177,Donald Trump,IN,1,16028,25575,0.626705767,Donald Trump
Worcester County,24047,Donald Trump,MD,1,15910,25571,0.622189199,Donald Trump
Goodhue County,27049,Donald Trump,MN,1,14041,25538,0.549808129,Donald Trump
Lenoir County,37107,Donald Trump,NC,1,13354,25500,0.523686275,Donald Trump
Waupaca County,55135,Donald Trump,WI,1,16013,25491,0.628182496,Donald Trump
Pottawatomie County,40125,Donald Trump,OK,1,17826,25417,0.701341622,Donald Trump
Bradford County,42015,Donald Trump,PA,1,17957,25399,0.706996338,Donald Trump
Blount County,1009,Donald Trump,AL,1,22808,25384,0.898518752,Donald Trump
Isabella County,26073,Donald Trump,MI,1,12338,25344,0.486821338,Donald Trump
Vermilion Parish,22113,Donald Trump,LA,1,19807,25253,0.784342454,Donald Trump
Grant County,18053,Donald Trump,IN,1,17009,25239,0.67391735,Donald Trump
Lincoln County,46083,Donald Trump,SD,1,15499,25231,0.614284016,Donald Trump
Whiteside County,17195,Donald Trump,IL,1,12597,25210,0.499682666,Donald Trump
Lowndes County,28087,Donald Trump,MS,1,13124,25139,0.522057361,Donald Trump
Columbia County,41009,Donald Trump,OR,1,12967,25077,0.517087371,Donald Trump
Carson City,32510,Donald Trump,NV,1,13125,25016,0.524664215,Donald Trump
Darke County,39037,Donald Trump,OH,1,19698,25000,0.78792,Donald Trump
Halifax County,37083,Donald Trump,NC,1,8954,24881,0.359872995,Hillary Clinton
Lincoln County,29113,Donald Trump,MO,1,18111,24857,0.728607636,Donald Trump
Laurel County,21125,Donald Trump,KY,1,20592,24824,0.82951982,Donald Trump
Bristol County,44001,Donald Trump,RI,1,8910,24725,0.360364004,Hillary Clinton
St. Francois County,29187,Donald Trump,MO,1,17467,24714,0.706765396,Donald Trump
Lee County,37105,Donald Trump,NC,1,13625,24676,0.552155941,Donald Trump
Autauga County,1001,Donald Trump,AL,1,18110,24661,0.734357893,Donald Trump
Wise County,48497,Donald Trump,TX,1,20655,24661,0.837557277,Donald Trump
Edgecombe County,37065,Donald Trump,NC,1,8219,24653,0.333387417,Hillary Clinton
Pike County,21195,Donald Trump,KY,1,19740,24650,0.800811359,Donald Trump
Queen Anne's County,24035,Donald Trump,MD,1,16211,24633,0.658100922,Donald Trump
Colbert County,1033,Donald Trump,AL,1,16718,24626,0.678875985,Donald Trump
Jackson County,17077,Donald Trump,IL,1,10889,24509,0.444285773,Hillary Clinton
Genesee County,36037,Donald Trump,NY,1,15986,24463,0.653476679,Donald Trump
Putnam County,54079,Donald Trump,WV,1,17455,24443,0.714110379,Donald Trump
Huron County,39077,Donald Trump,OH,1,15930,24332,0.654693408,Donald Trump
Herkimer County,36043,Donald Trump,NY,1,15664,24261,0.645645274,Donald Trump
Henry County,17073,Donald Trump,IL,1,13962,24232,0.576180258,Donald Trump
Muskogee County,40101,Donald Trump,OK,1,15029,24193,0.621212747,Donald Trump
Lamar County,28073,Donald Trump,MS,1,18493,24179,0.764837255,Donald Trump
Scott County,21209,Donald Trump,KY,1,15052,24178,0.622549425,Donald Trump
Liberty County,48291,Donald Trump,TX,1,18856,24155,0.780625129,Donald Trump
Bulloch County,13031,Donald Trump,GA,1,14476,24151,0.59939547,Donald Trump
Ashland County,39005,Donald Trump,OH,1,17169,24074,0.713176041,Donald Trump
Grant County,55043,Donald Trump,WI,1,12347,24051,0.513367428,Donald Trump
Lincoln County,41041,Donald Trump,OR,1,9901,24035,0.411940919,Hillary Clinton
Henry County,51089,Donald Trump,VA,1,15207,24029,0.632860294,Donald Trump
Jefferson County,54037,Donald Trump,WV,1,13144,24007,0.547506977,Donald Trump
Walker County,13295,Donald Trump,GA,1,18938,23939,0.791094031,Donald Trump
Dearborn County,18029,Donald Trump,IN,1,18110,23910,0.757423672,Donald Trump
Franklin County,21073,Donald Trump,KY,1,11819,23860,0.495347863,Donald Trump
Pickaway County,39129,Donald Trump,OH,1,16482,23814,0.692113883,Donald Trump
Ogle County,17141,Donald Trump,IL,1,14344,23798,0.602739726,Donald Trump
Grays Harbor County,53027,Donald Trump,WA,0.85,11818,23783,0.496909557,Donald Trump
St. Joseph County,26149,Donald Trump,MI,1,14886,23765,0.626383337,Donald Trump
Lyon County,32019,Donald Trump,NV,1,16005,23762,0.673554415,Donald Trump
Itasca County,27061,Donald Trump,MN,1,12920,23650,0.546300211,Donald Trump
Beaufort County,37013,Donald Trump,NC,1,14478,23599,0.613500572,Donald Trump
Bedford County,42009,Donald Trump,PA,1,19455,23504,0.82773145,Donald Trump
Kings County,6031,Donald Trump,CA,1,13158,23497,0.559986381,Donald Trump
Greene County,47059,Donald Trump,TN,1,18538,23491,0.789153293,Donald Trump
Seneca County,39147,Donald Trump,OH,1,14559,23481,0.620033218,Donald Trump
Columbus County,37047,Donald Trump,NC,1,14177,23472,0.603996251,Donald Trump
Reno County,20155,Donald Trump,KS,1,15100,23448,0.643978164,Donald Trump
Taney County,29213,Donald Trump,MO,1,18240,23399,0.779520492,Donald Trump
Effingham County,13103,Donald Trump,GA,1,17865,23395,0.763624706,Donald Trump
Tipton County,47167,Donald Trump,TN,1,16893,23372,0.722787951,Donald Trump
Jessamine County,21113,Donald Trump,KY,1,15474,23306,0.663949198,Donald Trump
Loudon County,47105,Donald Trump,TN,1,17588,23304,0.75472022,Donald Trump
Cass County,26027,Donald Trump,MI,1,14241,23272,0.611937092,Donald Trump
Shelby County,39149,Donald Trump,OH,1,18148,23110,0.785287754,Donald Trump
Kerr County,48265,Donald Trump,TX,1,17658,23090,0.764746644,Donald Trump
Otsego County,36077,Donald Trump,NY,1,12284,23024,0.533530229,Donald Trump
Knox County,23013,Donald Trump,ME,1,9148,23021,0.397376309,Hillary Clinton
Mercer County,54055,Donald Trump,WV,1,17362,22919,0.757537414,Donald Trump
Marion County,54049,Donald Trump,WV,1,14592,22910,0.636927106,Donald Trump
Grundy County,17063,Donald Trump,IL,1,13417,22891,0.586125552,Donald Trump
St. Mary Parish,22101,Donald Trump,LA,1,14353,22871,0.62756329,Donald Trump
Auglaize County,39011,Donald Trump,OH,1,18130,22860,0.793088364,Donald Trump
Hardin County,48199,Donald Trump,TX,1,19600,22768,0.860857344,Donald Trump
Clinton County,19045,Donald Trump,IA,1,11249,22748,0.494505011,Donald Trump
Polk County,55095,Donald Trump,WI,1,13864,22691,0.610991142,Donald Trump
Cerro Gordo County,19033,Donald Trump,IA,1,11583,22633,0.511774842,Donald Trump
Waldo County,23027,Donald Trump,ME,1,10378,22630,0.458594786,Hillary Clinton
Eagle County,8037,Donald Trump,CO,1,8153,22611,0.36057671,Hillary Clinton
Newaygo County,26123,Donald Trump,MI,1,15174,22605,0.671267419,Donald Trump
Boone County,17007,Donald Trump,IL,1,12261,22604,0.542426119,Donald Trump
Barron County,55005,Donald Trump,WI,1,13595,22514,0.603846496,Donald Trump
Nacogdoches County,48347,Donald Trump,TX,1,14751,22430,0.65764601,Donald Trump
Crawford County,5033,Donald Trump,AR,1,16655,22403,0.74342722,Donald Trump
Washington County,36115,Donald Trump,NY,1,12770,22401,0.570063836,Donald Trump
Wayne County,42127,Donald Trump,PA,1,15269,22365,0.682718533,Donald Trump
Grady County,40051,Donald Trump,OK,1,17293,22257,0.776969043,Donald Trump
Charlottesville city,51540,Donald Trump,VA,1,2951,22211,0.132862095,Hillary Clinton
Washington County,40147,Donald Trump,OK,1,15810,22208,0.71190562,Donald Trump
Douglas County,55031,Donald Trump,WI,1,9657,22185,0.435294118,Hillary Clinton
Camden County,29029,Donald Trump,MO,1,16721,22182,0.753809395,Donald Trump
Stokes County,37169,Donald Trump,NC,1,16976,22182,0.765305202,Donald Trump
Sullivan County,33019,Donald Trump,NH,1,10796,22129,0.4878666,Donald Trump
Ravalli County,30081,Donald Trump,MT,1,14673,22122,0.663276376,Donald Trump
Venango County,42121,Donald Trump,PA,1,15254,22096,0.690351195,Donald Trump
Culpeper County,51047,Donald Trump,VA,1,13341,22087,0.604020465,Donald Trump
Christian County,21047,Donald Trump,KY,1,14108,22083,0.638862473,Donald Trump
Gadsden County,12039,Donald Trump,FL,1,6721,22079,0.304406902,Hillary Clinton
Dunn County,55033,Donald Trump,WI,1,11487,22029,0.521448999,Donald Trump
Knox County,17095,Donald Trump,IL,1,10658,21964,0.485248589,Donald Trump
Macoupin County,17117,Donald Trump,IL,1,14194,21881,0.648690645,Donald Trump
Fremont County,8043,Donald Trump,CO,1,15066,21880,0.68857404,Donald Trump
Pope County,5115,Donald Trump,AR,1,15694,21770,0.720900322,Donald Trump
Cherokee County,45021,Donald Trump,SC,1,15165,21754,0.697113175,Donald Trump
Ottawa County,39123,Donald Trump,OH,1,12389,21742,0.569818784,Donald Trump
Garfield County,40047,Donald Trump,OK,1,15998,21692,0.737506915,Donald Trump
Van Zandt County,48467,Donald Trump,TX,1,18436,21689,0.850016137,Donald Trump
Kandiyohi County,27067,Donald Trump,MN,1,12785,21648,0.590585735,Donald Trump
Douglas County,27041,Donald Trump,MN,1,13966,21623,0.645886325,Donald Trump
Sagadahoc County,23023,Donald Trump,ME,1,9304,21596,0.430820522,Hillary Clinton
Coles County,17029,Donald Trump,IL,1,12985,21580,0.601714551,Donald Trump
Roane County,47145,Donald Trump,TN,1,15863,21580,0.735078777,Donald Trump
San Patricio County,48409,Donald Trump,TX,1,13004,21513,0.604471715,Donald Trump
Lincoln County,23015,Donald Trump,ME,1,9727,21432,0.45385405,Hillary Clinton
Gila County,4007,Donald Trump,AZ,1,13672,21398,0.638938219,Donald Trump
Davie County,37059,Donald Trump,NC,1,15502,21350,0.726088993,Donald Trump
Hall County,31079,Donald Trump,NE,1,14139,21331,0.662838123,Donald Trump
Beltrami County,27007,Donald Trump,MN,1,10783,21316,0.50586414,Donald Trump
Mercer County,39107,Donald Trump,OH,1,17200,21315,0.806943467,Donald Trump
Saline County,20169,Donald Trump,KS,1,13367,21206,0.63034047,Donald Trump
Perry County,42099,Donald Trump,PA,1,15613,21153,0.738098615,Donald Trump
Windham County,50025,Donald Trump,VT,1,5462,21151,0.258238381,Hillary Clinton
Pierce County,55093,Donald Trump,WI,1,11260,21089,0.53392764,Donald Trump
Johnson County,29101,Donald Trump,MO,1,13702,21087,0.649784227,Donald Trump
Montrose County,8085,Donald Trump,CO,1,14303,21070,0.678832463,Donald Trump
Chelan County,53007,Donald Trump,WA,0.5714,11556,21038,0.549291758,Donald Trump
Logan County,39091,Donald Trump,OH,1,15586,21007,0.741943162,Donald Trump
Jackson County,12063,Donald Trump,FL,1,14231,20997,0.67776349,Donald Trump
Carter County,47019,Donald Trump,TN,1,16897,20993,0.804887343,Donald Trump
McKinley County,35031,Donald Trump,NM,1,4893,20959,0.233455795,Hillary Clinton
Isanti County,27059,Donald Trump,MN,1,13635,20875,0.653173653,Donald Trump
Imperial County,6025,Donald Trump,CA,1,5607,20858,0.26881772,Hillary Clinton
Oneida County,55085,Donald Trump,WI,1,11677,20837,0.56039737,Donald Trump
Jackson County,1071,Donald Trump,AL,1,16643,20785,0.800721674,Donald Trump
Nelson County,21179,Donald Trump,KY,1,13430,20772,0.646543424,Donald Trump
St. John the Baptist Parish,22095,Donald Trump,LA,1,7569,20740,0.364946962,Hillary Clinton
Hawkins County,47073,Donald Trump,TN,1,16611,20694,0.802696434,Donald Trump
Fulton County,39051,Donald Trump,OH,1,13419,20693,0.648480162,Donald Trump
Duplin County,37061,Donald Trump,NC,1,12151,20601,0.589825737,Donald Trump
Hamblen County,47063,Donald Trump,TN,1,15839,20579,0.769668108,Donald Trump
Shelby County,21211,Donald Trump,KY,1,13196,20573,0.641423225,Donald Trump
Tioga County,36107,Donald Trump,NY,1,12528,20556,0.609457093,Donald Trump
Coffee County,1031,Donald Trump,AL,1,15825,20513,0.771462,Donald Trump
Isle of Wight County,51093,Donald Trump,VA,1,11971,20481,0.584492945,Donald Trump
Buffalo County,31019,Donald Trump,NE,1,14424,20477,0.704400059,Donald Trump
Riley County,20161,Donald Trump,KS,1,9817,20475,0.479462759,Donald Trump
Preble County,39135,Donald Trump,OH,1,15376,20475,0.750964591,Donald Trump
Boyd County,21019,Donald Trump,KY,1,13591,20454,0.664466608,Donald Trump
Hopkins County,21107,Donald Trump,KY,1,15277,20341,0.751044688,Donald Trump
Shenandoah County,51171,Donald Trump,VA,1,14078,20335,0.69230391,Donald Trump
Chaves County,35005,Donald Trump,NM,1,12869,20261,0.635161147,Donald Trump
Summit County,49043,Donald Trump,UT,1,7160,20133,0.355635027,Hillary Clinton
